Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
PL;Smolary Bytnickie;Smolary Bytnickie;52.172222, 15.206667000000001;O3;GIOS;µg/m³;35.4711;2023-06-15T09:00:00+10:00;Poland
BE;Brussels-Capital Region;BETMEU1;50.895101, 4.392718;NO2;EEA Belgium;µg/m³;23.0;2023-08-10T08:00:00+10:00;Belgium
CL;Talca;Universidad de Talca;-35.406582744695, -71.633396474869;PM2.5;Chile - SINCA;µg/m³;52.0;2023-08-10T09:00:00+10:00;Chile
FR;Eure-et-Loir;FR34046;48.7314125600919, 1.36388514642015;NO;EEA France;µg/m³;0.1;2023-08-10T07:00:00+10:00;France
BG;Шумен;BG0038A;43.268206, 26.938439;SO2;EEA Bulgaria;µg/m³;1.76;2023-08-10T05:00:00+10:00;Bulgaria
TR;Balıkesir;Balıkesir - Bandırma-MTHM;40.348103, 27.97499;SO2;Turkiye;µg/m³;53.487;2023-05-31T10:00:00+10:00;Turkey
IL;;תחנה:ספרא;32.8226, 34.9651;NO2;Israel;ppm;0.0318;2019-04-04T07:00:00+10:00;Israel
CZ;Středočeský;CZ0SBER;49.9579277038574, 14.0583000183105;NO;EEA Czech Republic;µg/m³;2.1;2023-08-10T08:00:00+10:00;Czech Republic
IN;;Sector-D Industrial Area, Mandideep - MPPCB;23.10844, 77.51142800000001;PM10;caaqm;µg/m³;350.0;2022-10-31T12:00:00+10:00;India
NL;Cabauw;Cabauw-Wielsekade;51.9745, 4.9233;PM2.5;Netherlands;µg/m³;9.0136;2023-08-10T09:00:00+10:00;Netherlands
FR;Pyrénées-Atlantiques;FR31013;43.3108061209975, -0.39111120334581;PM2.5;EEA France;µg/m³;4.5;2023-08-10T07:00:00+10:00;France
ZA;City of Tshwane;Tshwane Market;-25.740247, 28.170315;NO2;South Africa;ppm;0.005269;2023-05-31T06:00:00+10:00;South Africa
TH;Rayong;Huai Pong, Mueang;;SO2;Thailand;ppm;0.001;2018-09-25T12:00:00+10:00;Thailand
AU;Tasmania Region;West Ulverstone;-41.159, 146.146;PM2.5;Australia - Tasmania;µg/m³;0.0;2023-08-09T19:24:07+10:00;Australia
DE;Brandenburg;DEBB053;52.563835, 14.015252;NO;EEA Germany;µg/m³;1.0;2023-07-13T15:00:00+10:00;Germany
IN;;D M Colony, Bihar Sharif - BSPCB;25.204762, 85.51495999999999;PM2.5;caaqm;µg/m³;101.0;2022-10-31T11:45:00+10:00;India
IN;;BTM Layout, Bengaluru - CPCB;12.9135218, 77.59508040000001;NO2;caaqm;µg/m³;15.58;2022-10-17T02:00:00+10:00;India
ZA;Gert Sibande;Embalenhle;-26.551427, 29.112381;SO2;South Africa;ppm;0.007443;2023-04-25T21:00:00+10:00;South Africa
ES;Alicante/Alacant;ES1624A;38.2422222194777, -0.68277777;O3;EEA Spain;µg/m³;55.0;2023-08-10T07:00:00+10:00;Spain
IN;;Chhoti Gwaltoli, Indore - MPPCB;22.719444, 75.870278;NO2;caaqm;µg/m³;37.3;2020-01-06T19:15:00+10:00;India
US;Jackson;Hinds CC;32.346734, -90.225762;O3;AirNow;ppm;0.054;2023-05-31T09:00:00+10:00;United States
TR;Düzce;Düzce - Bahçeşehir;40.860818, 31.229429;O3;Turkiye;µg/m³;51.88;2023-05-31T10:00:00+10:00;Turkey
ES;Bizkaia;ES1490A;43.1722222194642, -2.63583333;O3;EEA Spain;µg/m³;104.0;2023-08-10T07:00:00+10:00;Spain
ZA;Nkangala;Hendrina - SAWS;-26.151197, 29.716484;PM10;South Africa;µg/m³;5.993;2023-05-31T09:00:00+10:00;South Africa
CO;Medellin;MED-VILL - Medellín, Villahermosa - Planta de producción de agua potable EPM;6.2589092, -75.5482635;PM2.5;Medellin;µg/m³;20.2708;2023-08-09T22:00:00+10:00;Colombia
US;GARFIELD;Pomeroy-Pataha St;46.474438, -117.614764;PM2.5;AirNow;µg/m³;3.0;2023-05-31T09:00:00+10:00;United States
PT;Coimbra;PT02016;40.206944, -8.410833;O3;EEA Portugal;µg/m³;42.0;2023-06-15T15:00:00+10:00;Portugal
TR;Zonguldak;Zonguldak - Kozlu;41.449829, 31.769504;CO;Turkiye;µg/m³;355.383;2023-05-31T10:00:00+10:00;Turkey
US;Pendleton-Hermiston;Hermiston - Municipa;45.828968, -119.262991;O3;AirNow;ppm;0.058;2023-05-31T09:00:00+10:00;United States
NI;;Lagos;6.440483, 3.406815;PM2.5;AirNow;µg/m³;22.6;2023-05-30T17:00:00+10:00;Nicaragua
CZ;Ústecký;CZ0UULM;50.6610946655273, 14.0430631637573;O3;EEA Czech Republic;µg/m³;9.0;2020-03-01T10:00:00+10:00;Czech Republic
US;Detroit-Warren-Livonia;DETROIT-SW;42.3042, -83.1072;SO2;AirNow;ppm;0.0027;2023-05-31T06:00:00+10:00;United States
GB;Cambridge;Cambridge Roadside;52.20237, 0.124456;NO2;DEFRA;µg/m³;18.0;2023-08-10T10:00:00+10:00;United Kingdom
ES;Araba/Álava;ES1502A;42.8547222194646, -2.68055555;CO;EEA Spain;µg/m³;340.0;2023-08-10T07:00:00+10:00;Spain
FR;;FR07032;45.8941939994635, 3.115056;NO2;EEA France;µg/m³;6.68;2018-08-23T22:00:00+10:00;France
TR;Kırıkkale;Kırıkkale;39.843184654638, 33.5181009862884;NO2;Turkiye;µg/m³;30.816;2022-12-29T19:00:00+10:00;Turkey
GR;ΔΥΤΙΚΗ ΕΛΛΑΔΑ;GR0048A;38.24597549, 21.73589706;NO;EEA Greece;µg/m³;12.0;2023-06-12T17:00:00+10:00;Greece
ZA;Dr Kenneth Kaunda;Khuma;-26.854713, 26.846664;NOX;South Africa;ppm;0.007881;2023-05-31T04:00:00+10:00;South Africa
DE;Niedersachsen;DENI063;53.52418, 9.68503;NO2;EEA Germany;µg/m³;5.30378;2023-08-10T07:00:00+10:00;Germany
IN;;Sector 22, Chandigarh - CPCC;30.735567, 76.775714;NO2;caaqm;µg/m³;71.7;2022-10-31T11:45:00+10:00;India
AT;;AT60137;47.0591699994646, 15.016667;NO2;EEA Austria;µg/m³;0.0;2021-12-31T09:00:00+10:00;Austria
US;Evansville;BASKETT;37.8714, -87.4633;PM2.5;AirNow;µg/m³;23.5;2019-03-02T00:00:00+10:00;United States
MK;Aerodrom Municipality;MK0031A;41.978329999466, 21.47;CO;EEA Macedonia;µg/m³;315.52000000000004;2023-08-10T08:00:00+10:00;Macedonia, The former Yugoslav Rep. of
TH;Loei;60th Anniversary Queen Sirikit Public Park, Loei;17.48462, 101.732734;SO2;Air4Thai;ppm;0.001;2023-05-31T10:00:00+10:00;Thailand
PL;Bielsko-Biała;Bielsko-Biała, ul. Kossak-Szczuckiej;49.813464, 19.027318;PM10;GIOS;µg/m³;20.9032;2023-06-15T08:00:00+10:00;Poland
FR;;FR15017;45.1904389994632, 5.686964;PM10;EEA France;µg/m³;13.08;2018-02-13T17:00:00+10:00;France
GB;Lewisham;Lewisham - Honor Oak Park;51.4496728960354, -0.0374153592115306;NO2;London Air Quality Network;µg/m³;13.3;2023-08-10T10:00:00+10:00;United Kingdom
IN;;Railway Colony, Guwahati - PCBA;26.181741999999996, 91.78062999999999;PM10;caaqm;µg/m³;42.0;2022-10-31T11:45:00+10:00;India
US;New York-Northern New Jersey-Long Island;Maspeth;40.7269, -73.8933;PM2.5;AirNow;µg/m³;8.1;2023-05-31T09:00:00+10:00;United States
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;SO2;Sao Paulo CETESB;µg/m³;13.0;2023-04-06T01:00:00+10:00;Brazil
MX;Chihuahua;SUR;28.632775000000002, -106.03886694443999;CO;Sinaica Mexico;ppm;1.06;2023-08-10T06:00:00+10:00;Mexico
CA;SASKATCHEWAN;Saskatoon;52.136055, -106.662796;NO2;AirNow;ppm;0.003;2023-08-10T09:00:00+10:00;Canada
ZA;Namakwa;Karoo-NAQI;-31.398641, 19.140214;PM2.5;South Africa;µg/m³;2.333;2023-05-31T06:00:00+10:00;South Africa
AU;St Albans;St Albans;-37.75079, 144.827255;PM2.5;Australia - Victoria;µg/m³;8.65;2023-04-05T07:00:00+10:00;Australia
US;Philadelphia-Camden-Wilmington;New Garden;39.8344, -75.7678;PM2.5;AirNow;µg/m³;9.7;2023-05-31T09:00:00+10:00;United States
FR;;Vienne Centre;45.5259808277432, 4.875408575196197;PM10;EEA France;µg/m³;53.75;2016-12-05T11:00:00+10:00;France
MX;;Parque La Esperanza;25.571916666667004, -103.49780555555999;CO;Sinaica Mexico;ppm;13.989;2023-04-03T04:00:00+10:00;Mexico
TW;苗栗縣;Miaoli;24.565269, 120.8202;PM2.5;Taiwan;µg/m³;10.0;2021-05-17T15:00:00+10:00;Taiwan, China
